,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites
234,u364,0,45.0,0
235,j119,0,45.0,0
236,v923,0,45.0,0
237,w914,0,45.0,0
238,i738,0,45.0,0
239,r944,0,45.0,0
240,y793,0,45.0,0
241,g316,0,45.0,0
242,g288,0,45.0,0
243,l897,0,45.0,0
244,w150,0,45.0,0
245,t565,0,45.0,0
246,i557,0,45.0,0
247,m957,0,45.0,0
248,f966,0,45.0,0
249,m601,0,45.0,0
250,a275,5,46.79525728,0
251,w575,5,48.91385977,1
252,x822,5,45.67110442,1
253,l509,5,45.85119285,0
254,n304,5,46.43121629,0
255,d164,5,46.61767061,0
256,l897,5,45.46224327,0
257,l558,5,45.80908882,0
258,g296,5,46.59323337,0
259,c458,5,45.72227949,0
260,a401,5,46.11198591,0
261,l700,5,45.91837165,0
262,f234,5,47.31349062,0
263,x613,5,46.09704058,0
264,u149,5,45.79206792,0
265,k210,5,47.91899771,0
266,x402,5,46.32757027,1
267,q610,5,45.62949421,0
268,x581,5,47.1969266,0
269,a492,5,46.40914339,0
270,m133,5,46.62130127,0
271,l725,5,48.73631881,1
272,q633,5,47.18380215,0
273,f129,5,47.00059399,0
274,q483,5,46.77681624,1
275,a444,5,44.00597487,0
276,v835,5,47.15601071,0
277,r604,5,47.06774448,1
278,f394,5,47.03309963,0
279,y865,5,46.73500592,1
280,d251,5,41.74635495,1
281,b313,5,47.15443254,0
282,y769,5,46.42265176,1
283,z234,5,46.12935706,1
284,b559,5,47.40989731,0
285,f993,5,46.39575966,0
286,q119,5,47.86444,0
287,j989,5,45.62071835,1
288,w150,5,39.20212894,0
289,n923,5,45.82488099,0
290,y449,5,45.87754494,0
291,l661,5,46.26879904,0
292,c302,5,47.69067986,1
293,c264,5,45.79170389,0
294,l471,5,46.25187204,0
295,x930,5,46.07823375,0
296,k754,5,45.7277604,0
297,f436,5,46.37079759,1
298,v295,5,46.11181797,1
299,j913,5,44.01490022,0
300,s710,5,43.180977399999996,0
301,z969,5,49.33299873,0
302,k894,5,47.64568674,0
303,l490,5,45.61253918,1
304,b759,5,48.00919049,0
305,a411,5,45.46667714,0
306,f545,5,46.56581263,0
307,o725,5,46.88982098,0
308,y601,5,48.47500273,1
309,w914,5,45.89372032,0
310,n967,5,46.07719173,1
311,l733,5,46.17422627,0
312,m601,5,41.40859145,1
313,b487,5,46.21397739,0
314,o287,5,45.58680362,0
315,p310,5,46.55853236,1
316,r107,5,48.51342027,0
317,s565,5,48.24255218,0
318,w350,5,48.23211311,0
319,s187,5,47.57671761,1
320,j984,5,48.41072109,1
321,w697,5,48.30182261,1
322,j755,5,47.24284357,0
323,g570,5,47.65642436,1
324,u364,5,45.76088647,1
325,x209,5,46.75426887,0
326,c402,5,49.3426301,1
327,b742,5,41.53409702,0
328,n630,5,46.09909969,0
329,g989,5,48.78680146,0
330,e213,5,45.69925018,1
331,a366,5,48.95136773,0
332,w746,5,49.45327005,0
333,s141,5,45.83113434,0
334,i901,5,46.49302392,0
335,t198,5,47.46126052,0
336,b879,5,49.15615628,1
337,k603,5,46.04211582,0
338,o523,5,45.54470008,0
339,v923,5,45.70443431,0
340,f966,5,38.79647373,0
341,p387,5,48.66763075,0
342,g867,5,46.88074916,0
343,i635,5,47.23593715,0
344,s619,5,46.60226878,0
345,a699,5,46.55308986,0
346,q132,5,46.7163985,1
347,k862,5,49.20305786,0
348,h333,5,45.75172728,0
349,x401,5,45.47375302,0
350,o926,5,46.76116373,0
351,c927,5,46.35184205,0
352,c559,5,46.56263793,0
353,r701,5,46.88697137,0
354,j119,5,45.83899787,0
355,p438,5,46.82793418,0
356,m269,5,49.011180100000004,0
357,a963,5,46.23350581,0
358,p136,5,49.27397096,0
359,t724,5,46.35925829,0
360,g989,5,47.57039208,0
361,z314,5,45.93471217,0
362,a818,5,45.69670864,0
363,v764,5,47.05418474,0
364,j365,5,46.7112611,0
365,i557,5,42.2616653,0
366,x264,5,47.0384145,0
367,v991,5,49.21432799,1
368,a788,5,47.00658024,0
369,x111,5,46.94101498,1
370,k510,5,46.608467100000006,0
371,z435,5,47.11597963,0
372,e584,5,45.656978499999994,0
373,m331,5,45.52301371,1
374,n678,5,47.55428429,0
375,p981,5,47.00062717,0
376,g558,5,46.18874193,0
377,e291,5,46.14250486,0
378,q511,5,45.83265378,0
379,u946,5,45.9918078,1
380,z795,5,46.83347493,0
381,t451,5,48.04713882,0
382,s337,5,46.84985157,0
383,o562,5,46.51495016,1
384,w540,5,45.88537038,1
385,w140,5,47.71795156,0
386,l215,5,49.48194935,1
387,y793,5,41.01991315,0
388,n763,5,46.08598142,0
389,a203,5,48.5084684,0
390,w584,5,46.05193075,0
391,y163,5,48.28497016,0
392,o973,5,46.71787727,0
393,o795,5,46.76092721,1
394,w422,5,48.45745927,0
395,e662,5,45.81628252,0
396,g791,5,45.85153062,0
397,c580,5,46.62845479999999,0
398,e476,5,47.11180113,0
399,k483,5,46.61105571,0
400,y478,5,48.64107818,1
401,i669,5,46.76466824,1
402,d474,5,45.91835225,0
403,w193,5,45.49385802,0
404,q582,5,45.95539895,1
405,s166,5,47.18678778,0
406,o331,5,47.05966408,1
407,k382,5,46.27499735,1
408,k804,5,48.26620364,0
409,r850,5,46.86291194,0
410,g316,5,44.02275246,0
411,v766,5,48.15125091,1
412,g497,5,48.78206878,0
413,a520,5,38.72370695,0
414,x773,5,45.8508307,1
415,m550,5,49.05409736,1
416,t994,5,47.891487100000006,0
417,n364,5,45.52187471,0
418,l264,5,46.66876646,0
419,e227,5,47.23801112,0
420,c326,5,36.321345799999996,0
421,r157,5,45.59706359,0
422,c766,5,47.31305537,0
423,v719,5,47.18836325,0
424,w678,5,43.16637266,0
425,c139,5,48.75311208,0
426,m546,5,42.99887638,0
427,v339,5,46.25011212,0
428,s152,5,47.459052899999996,1
429,m650,5,48.56249492,1
430,c282,5,45.72568973,0
431,v989,5,48.85813451,0
432,r944,5,45.73714484,0
433,r554,5,45.78174579,1
434,c895,5,45.47754399,0
435,v409,5,46.22079642,0
436,u196,5,45.55746444,1
437,c832,5,48.68546123,1
438,v289,5,46.20446003,0
439,a897,5,45.69112405,1
440,f345,5,45.5911466,0
441,s508,5,38.71187185,0
442,a577,5,46.197719899999996,1
443,z578,5,42.18878662,0
444,i177,5,44.06539783,0
445,a644,5,45.55015754,0
446,c757,5,47.78327981,0
447,s185,5,43.87849569,0
448,i738,5,45.59568527,0
449,m756,5,47.01036401,1
450,o813,5,45.69933088,0
451,j246,5,45.64143788,0
452,a685,5,46.87048256,0
453,r811,5,45.62580225,0
454,h246,5,49.47041702,0
455,q597,5,45.76611104,0
456,a251,5,46.98212719,0
457,q787,5,47.11661587,0
458,c758,5,45.5786783,0
459,u327,5,45.69418805,0
460,t565,5,45.8956472,0
461,c819,5,45.76924864,1
462,o302,5,48.93701188,0
463,h531,5,47.784681799999994,0
464,i477,5,46.65738471,0
465,w151,5,45.54607595,1
466,y260,5,46.79983867,0
467,r921,5,45.56821083,0
468,a457,5,47.462891,0
469,j296,5,46.79925591,1
470,w167,5,48.78627194,0
471,a262,5,48.71756819,1
472,b128,5,45.65133131,0
473,n671,5,47.35388938,0
474,g288,5,45.83939976,0
475,v603,5,46.01600593,0
476,i334,5,41.02051821,0
477,k403,5,38.82589807,0
478,p189,5,49.04870704,1
479,o809,5,46.87724316,0
480,g107,5,48.79166496,0
481,t718,5,45.92125272,1
482,i386,5,46.85369669,1
483,s121,5,45.63566174,1
484,z581,5,49.27309187,1
485,f278,5,48.19457788,0
486,j235,5,46.58881978,0
487,m957,5,45.62238149,1
488,e291,10,48.52974125,1
489,u946,10,46.73050592,1
490,g558,10,50.09475382,0
491,i386,10,49.86154739,2
492,e584,10,47.25064148,0
493,o523,10,47.0810859,1
494,i635,10,48.68575605,1
495,b879,10,50.33894583,1
496,u327,10,49.23525948,0
497,n678,10,49.14570866,1
498,r554,10,39.0054935,2
499,z435,10,48.71066147,0
500,s565,10,52.77752710000001,0
501,g497,10,49.6470865,0
502,s187,10,48.14635121,1
503,o809,10,48.6707318,0
504,z581,10,50.47875016,2
505,r107,10,49.18601052,0
506,k804,10,49.47124419,0
507,a366,10,53.52399007,0
508,j755,10,48.16706083,0
509,g570,10,49.18823167,1
510,d474,10,46.97496297,0
511,c832,10,49.81141262,1
512,x209,10,48.92989543,0
513,u364,10,46.56841719,2
514,k483,10,50.29604123,1
515,o973,10,48.24579043,0
516,y163,10,49.112399100000005,1
517,e213,10,47.39157120000001,2
518,a251,10,48.59117901,1
519,p387,10,53.36296294,0
520,v923,10,39.84822328,0
521,x111,10,49.12296898,1
522,a577,10,49.5096389,1
523,g288,10,46.30400254,1
524,v603,10,47.8305568,0
525,c139,10,49.99295391,0
526,j296,10,48.52997762,2
527,o331,10,50.12845481,1
528,b759,10,49.13335499,0
529,l490,10,47.25960594,1
530,z969,10,52.65608148,1
531,n671,10,51.03935653,0
532,g107,10,53.43598668,0
533,v835,10,48.96591797,0
534,s710,10,43.68802627,0
535,s121,10,49.04883479,1
536,f436,10,48.14697758,2
537,r604,10,48.78655957,1
538,l733,10,48.35495154,0
539,l509,10,46.75907363,0
540,y260,10,48.08180678,1
541,v766,10,50.36310988,1
542,n304,10,47.20125097,0
543,a457,10,49.78341894,0
544,l558,10,46.78453491,0
545,o725,10,48.199452,0
546,c819,10,46.65839527,1
547,i738,10,43.42101414,0
548,n923,10,48.79194986,1
549,p189,10,51.58216168,2
550,q119,10,51.23660557,0
551,l661,10,49.68361956,0
552,f993,10,48.18537323,0
553,m957,10,46.414517700000005,1
554,h246,10,51.36886216,1
555,w151,10,46.50147609,1
556,y769,10,48.01516261,1
557,y865,10,49.52273955,1
558,b559,10,48.03643202,0
559,s141,10,47.23569156,0
560,l471,10,48.18206306,0
561,x930,10,50.26069441,0
562,a685,10,47.66475264,0
563,w193,10,48.34655046,0
564,x822,10,48.98371668,1
565,k382,10,50.18096763,1
566,v289,10,48.13348207,0
567,b487,10,47.664387100000006,0
568,c895,10,49.77901542,0
569,t724,10,50.70389965,0
570,j119,10,46.42536551,0
571,p438,10,50.51749789,0
572,r701,10,49.65459636,0
573,m650,10,50.96899763,1
574,i557,10,42.99207658,0
575,v719,10,51.49705412,1
576,c927,10,50.96529767,1
577,x264,10,47.88712765,1
578,v991,10,52.6449057,1
579,l264,10,50.65958094,0
580,o562,10,47.14767002,1
581,f345,10,47.22244619,0
582,a818,10,49.79091948,0
583,o287,10,47.36020084,1
584,m550,10,50.54803457,2
585,l700,10,47.01356652,1
586,g316,10,44.50204246,0
587,u149,10,47.40483439,0
588,e476,10,49.43168536,0
589,k210,10,49.37993231,0
590,l725,10,50.82391154,2
591,a275,10,47.37134328,0
592,z795,10,48.0308039,0
593,c580,10,47.57017382,1
594,m133,10,47.50333803,0
595,w422,10,49.93597024,0
596,x581,10,49.06702788,1
597,v295,10,47.53946216,2
598,a203,10,51.852437200000004,1
599,y793,10,41.63001026,1
600,q483,10,47.8391005,1
601,w584,10,47.29850794,0
602,f966,10,35.6244027,0
603,q132,10,47.95384377,2
604,m269,10,50.86013006,0
605,w167,10,51.82640965,0
606,m601,10,36.82536664,1
607,a492,10,48.43219661,0
608,x773,10,47.18920597,2
609,a401,10,47.7259374,1
610,i177,10,41.02092924,0
611,s166,10,49.00012468,0
612,q582,10,47.01357514,1
613,w540,10,47.45906658,1
614,j365,10,48.34932028,0
615,v764,10,48.18900062,1
616,g791,10,40.17055848,0
617,y478,10,52.28893409,1
618,l897,10,46.15473721,0
619,o795,10,51.1237037,1
620,g989,10,51.74515613,0
621,p136,10,50.90789028,0
622,t451,10,48.95791906,0
623,c282,10,48.17950638,0
624,s337,10,47.8944415,0
625,m546,10,43.74822357,0
626,v989,10,52.61468889,1
627,a788,10,50.15972132,1
628,a644,10,46.38071258,0
629,v409,10,50.64903842,1
630,r944,10,46.54429202,0
631,a963,10,47.15052201,0
632,t994,10,52.614163500000004,1
633,c559,10,47.29326012,0
634,a520,10,36.42938781,0
635,a444,10,44.51255951,0
636,u196,10,46.42294306,1
637,e227,10,51.34975705,1
638,f129,10,48.17971908,1
639,t718,10,46.39268805,1
640,n967,10,47.47172327,1
641,d251,10,42.43225791,1
642,b313,10,48.31937218,1
643,f545,10,51.07251225,0
644,a411,10,40.75978762,1
645,w914,10,43.23196275,0
646,c302,10,48.53356704,1
647,j989,10,46.34383237,1
648,k894,10,49.27287011,1
649,y449,10,46.37809248,0
650,w150,10,39.95234669,0
651,j913,10,44.49716216,0
652,a897,10,47.97292708,1
653,k754,10,49.74611666,0
654,k403,10,35.01427146,1
655,c757,10,49.21931669,0
656,g296,10,48.26950861,0
657,r921,10,42.71192694,0
658,q633,10,49.00186559,0
659,t565,10,46.74900552,0
660,r811,10,39.453903000000004,0
661,f234,10,47.90432375,0
662,x613,10,46.81817589999999,0
663,x402,10,46.88696249,1
664,o302,10,49.70144989,0
665,w575,10,50.13595547,1
666,c458,10,44.45437828,1
667,i477,10,47.52063206,0
668,c758,10,46.28799223,0
669,d164,10,47.47464468,1
670,q610,10,44.99148471,0
671,s185,10,37.61494768,0
672,q511,10,50.31164687,0
673,c264,10,49.02659196,0
674,k862,10,50.52355007,1
675,n763,10,46.81731526,1
676,h333,10,46.23384414,1
677,c402,10,50.56689412,1
678,q787,10,48.59386234,1
679,b128,10,43.2708519,0
680,g867,10,48.18340167,0
681,g989,10,49.880527799999996,0
682,b742,10,41.99922813,0
683,e662,10,46.40908385,0
684,i669,10,48.2816334,1
685,a699,10,47.86737569,0
686,q597,10,42.53798598,0
687,j984,10,50.14108401,1
688,a262,10,49.59518129,1
689,w350,10,48.89955238,0
690,n364,10,40.3751382,0
691,z578,10,42.95211843,0
692,w697,10,48.925056,2
693,p310,10,48.66560668,1
694,k603,10,46.60694676,0
695,k510,10,47.65824979999999,1
696,r850,10,48.51509085,1
697,j235,10,48.01878792,1
698,i901,10,50.42124982,0
699,s152,10,52.1816442,2
700,o926,10,47.56567364,1
701,m331,10,47.64687735,1
702,x401,10,39.11389068,0
703,l215,10,53.653969599999996,1
704,j246,10,46.408361299999996,0
705,s508,10,34.850997899999996,0
706,p981,10,47.54584585,0
707,i334,10,41.63124731,0
708,r157,10,46.05960827,0
709,t198,10,49.00080978,1
710,c766,10,49.50027098,1
711,q597,15,41.39566036,0
712,l661,15,50.94754484,1
713,y769,15,52.76102114,2
714,s185,15,38.17723195,0
715,d251,15,39.47278744,1
716,y865,15,50.80651856,1
717,a685,15,48.95147442,0
718,a262,15,53.82797367,2
719,b128,15,43.78489343,0
720,r811,15,40.02229235,0
721,z581,15,51.1963042,2
722,c819,15,48.37099912,1
723,r850,15,50.21860469,1
724,b559,15,51.37886229,0
725,c264,15,53.66494165,1
726,o302,15,51.38148886,0
727,g288,15,42.17230079,1
728,h246,15,56.18432701,1
729,a251,15,50.53445603,1
730,c757,15,51.532603,0
731,j989,15,41.12835439,1
732,i334,15,39.15800115,0
733,f993,15,49.10697473,1
734,y449,15,44.18345092,0
735,i738,15,37.97877782,0
736,i386,15,51.73656088,2
737,u327,15,50.65996437,0
738,q787,15,49.21773243,2
739,n923,15,51.73870623,1
740,c758,15,46.94094512,1
741,c302,15,52.71663459,2
742,q132,15,49.15974862,3
743,n671,15,54.21606411,0
744,a897,15,52.34308525,2
745,k403,15,34.22399174,1
746,b313,15,49.18838735,1
747,p189,15,53.6755415,2
748,m957,15,39.80445341,1
749,w151,15,47.24292865,1
750,v603,15,52.10294744,0
751,j296,15,50.70127959,2
752,o331,15,54.78976769,1
753,a644,15,46.91089166,0
754,o809,15,49.68344504,1
755,n763,15,47.79809961,1
756,w422,15,52.24630985,0
757,o795,15,55.88633793,2
758,a203,15,52.7778705,1
759,a520,15,35.590253999999995,0
760,y163,15,51.52306843,1
761,r944,15,47.37342325,0
762,m550,15,51.16606544,3
763,f345,15,48.35223854,0
764,s152,15,57.22498064,2
765,t994,15,53.45863887,1
766,c895,15,52.94946474,1
767,y793,15,42.28366512,1
768,u196,15,47.22717065,1
769,c832,15,52.86453449,1
770,s508,15,35.27690634,0
771,m546,15,39.89743533,0
772,a577,15,50.91500662,2
773,m650,15,53.14955933,1
774,v719,15,52.60910758,1
775,c766,15,50.59663325,2
776,c282,15,49.26607873,0
777,j235,15,51.16113815,1
778,e227,15,52.83394196,1
779,c139,15,51.8332246,0
780,n364,15,36.94027399,0
781,v289,15,52.60216564,0
782,r921,15,43.52726054,0
783,y478,15,53.61040585,1
784,c580,15,51.991708,1
785,t565,15,44.44094861,0
786,g497,15,53.64616804,1
787,t718,15,48.08512552,1
788,g107,15,58.13554485,0
789,s121,15,50.82456031,2
790,z578,15,38.68851607,0
791,j246,15,43.31265415,0
792,k804,15,50.47761824,0
793,w167,15,53.90048909,0
794,d474,15,47.77793584,0
795,y260,15,50.19615224,2
796,v766,15,51.54243058,1
797,w584,15,51.26543971,0
798,x773,15,47.67123558,3
799,i669,15,48.857600700000006,1
800,i177,15,40.33093479,0
801,r157,15,46.53920617,0
802,k382,15,54.42916821,1
803,k483,15,53.24445813,1
804,q582,15,48.32264018,2
805,e476,15,54.04621267,0
806,g791,15,40.67812852,0
807,g316,15,45.21674299,0
808,r554,15,35.46375763,2
809,o973,15,49.87193582,0
810,e662,15,43.55377339,0
811,w193,15,49.38557373,0
812,s141,15,49.23234538,1
813,n967,15,49.82500362,1
814,p438,15,52.19836818,0
815,g989,15,51.32585207,1
816,b487,15,51.68325586,0
817,g570,15,52.6826954,1
818,j119,15,47.32298428,0
819,j755,15,51.45397391,0
820,v764,15,49.41262418,2
821,a818,15,51.22756565,0
822,o287,15,48.67945261,1
823,w540,15,48.25014636,2
824,w350,15,50.8546323,1
825,q483,15,48.4684826,1
826,j365,15,49.58826336,0
827,j984,15,51.16675687,1
828,v295,15,50.66605391,2
829,s187,15,52.08163225,1
830,a401,15,49.93472542,1
831,x581,15,49.74642744,2
832,a492,15,51.985262899999995,0
833,e291,15,49.348426200000006,1
834,a275,15,49.73440359,0
835,f129,15,49.98830246,1
836,s565,15,54.32831664,1
837,x402,15,49.11994779999999,1
838,l725,15,54.24456268,2
839,b742,15,39.52484301,0
840,t724,15,55.58461724,0
841,k210,15,51.07355752,0
842,p136,15,51.99141616,1
843,m269,15,55.9053436,0
844,q511,15,52.13308139,0
845,u946,15,47.67302921,1
846,x401,15,39.77625003,0
847,g558,15,51.007258,0
848,t451,15,49.65278772,0
849,z795,15,49.36813189,1
850,o562,15,51.50508551,1
851,s337,15,48.57151582,0
852,v991,15,54.588591,1
853,a788,15,52.53994926,1
854,a963,15,47.83685218,0
855,x264,15,50.00231403,1
856,e584,15,48.43041053,1
857,c927,15,53.26643087,1
858,p981,15,49.65770973,0
859,o926,15,48.25424839,1
860,i557,15,43.529875700000005,0
861,c559,15,51.41490358,1
862,u364,15,47.21219992,2
863,r701,15,52.48480443,0
864,l897,15,44.0615214,0
865,k510,15,49.687051700000005,1
866,e213,15,51.7916953,2
867,h333,15,50.69260358,2
868,c402,15,52.23071944,1
869,g989,15,53.44201976,0
870,m601,15,35.46461175,1
871,m133,15,48.6652074,1
872,m331,15,52.11008758,1
873,w914,15,43.68844893,0
874,s710,15,41.84523536,0
875,a699,15,49.53040137,0
876,g296,15,49.65324404,1
877,a411,15,41.48416885,1
878,b879,15,51.61838657,1
879,p387,15,55.25138033,0
880,r604,15,51.07452073,1
881,l509,15,47.48859931,1
882,f436,15,48.72207785,2
883,u149,15,48.52237343,0
884,b759,15,51.58779906,0
885,g867,15,51.06041924,1
886,k603,15,48.775285499999995,0
887,i635,15,49.53689775,1
888,k862,15,54.47453362,1
889,k754,15,51.32356994,0
890,j913,15,45.25253427,0
891,v835,15,50.54520646,1
892,l490,15,50.52481268,1
893,k894,15,49.987765700000004,1
894,l733,15,49.28519504,0
895,f966,15,32.62300253,0
896,f545,15,53.94554429,1
897,o725,15,50.01507902,1
898,p310,15,49.77074144,1
899,r107,15,53.09033546,0
900,q633,15,50.583557299999995,1
901,x930,15,51.97376864,0
902,f234,15,48.73519714,1
903,l700,15,49.04022529,1
904,a444,15,43.00127957,0
905,a366,15,55.26558163,0
906,x822,15,49.69466533,1
907,x613,15,48.0776464,0
908,l471,15,49.40687901,0
909,z969,15,54.71300452,2
910,c458,15,45.10742313,2
911,q610,15,45.88902756,0
912,w697,15,52.65726519,2
913,v923,15,40.45798877,0
914,w575,15,50.86745176,1
915,t198,15,49.781180799999994,2
916,n304,15,48.47797895,0
917,i901,15,51.41964239,0
918,u364,20,40.34394812,2
919,o926,20,51.82663825,2
920,q132,20,51.90902494,4
921,a577,20,52.36518457,2
922,i386,20,55.08772445,2
923,t198,20,51.49073998,3
924,g558,20,55.09009691,1
925,c766,20,53.00686463,3
926,u946,20,49.11004966,1
927,p310,20,54.20518054,1
928,s152,20,62.35160945,2
929,z581,20,51.80794416,2
930,f966,20,30.48598484,0
931,o809,20,50.33655288,1
932,s187,20,53.74473406,1
933,b128,20,42.731552,0
934,i669,20,50.87369027,1
935,b742,20,37.95035546,0
936,k804,20,54.48451945,0
937,a699,20,50.71242334,0
938,i635,20,51.87706189,1
939,r107,20,55.263858400000004,0
940,r554,20,36.01558858,2
941,w350,20,52.13232061,1
942,k603,20,50.18010935,0
943,a251,20,54.46259376,1
944,k483,20,54.77896052,1
945,a262,20,57.01331331,2
946,n763,20,49.25812581,1
947,q787,20,50.22993419,2
948,y163,20,54.57107607,1
949,g570,20,54.64329541,1
950,g989,20,55.32612202,1
951,s141,20,51.6216457,1
952,q511,20,52.67271205,0
953,s121,20,52.0050659,2
954,t718,20,52.6367,2
955,k210,20,51.99761855,0
956,u149,20,50.37805789,0
